Athlete,Country,Gold,Silver,Bronze,Total,year
Siri Mullinix,United States,0,1,0,1,2000
Christie Pearce-Rampone,United States,0,1,0,1,2000
Nikki Serlenga,United States,0,1,0,1,2000
Kate Sobrero-Markgraf,United States,0,1,0,1,2000
David Albelda,Spain,0,1,0,1,2000
Iván Amaya,Spain,0,1,0,1,2000
Miguel Ángel Angulo,Spain,0,1,0,1,2000
Daniel Aranzubia,Spain,0,1,0,1,2000
Capdevila,Spain,0,1,0,1,2000
Jordi Ferrón,Spain,0,1,0,1,2000
Gabri,Spain,0,1,0,1,2000
Ismael Ruiz,Spain,0,1,0,1,2000
José Mari,Spain,0,1,0,1,2000
Lacruz,Spain,0,1,0,1,2000
Albert Luque,Spain,0,1,0,1,2000
Marchena,Spain,0,1,0,1,2000
Puyol,Spain,0,1,0,1,2000
Tamudo,Spain,0,1,0,1,2000
Unai,Spain,0,1,0,1,2000
Toni,Spain,0,1,0,1,2000
Xavi,Spain,0,1,0,1,2000
Ji Wallace,Australia,0,1,0,1,2000
Tatsiana Ananka,Belarus,0,1,0,1,2000
Tatsiana Belan,Belarus,0,1,0,1,2000
Hanna Hlazkova,Belarus,0,1,0,1,2000
Iryna Ilienkava,Belarus,0,1,0,1,2000
Maryia Lazuk,Belarus,0,1,0,1,2000
Volha Puzhevich,Belarus,0,1,0,1,2000
Yuliya Raskina,Belarus,0,1,0,1,2000
Ling Jie,People's Republic of China,0,1,0,1,2000
Benjamin Varonian,France,0,1,0,1,2000
Dimosthenis Tambakos,Greece,0,1,0,1,2000
Martin Boquist,Sweden,0,1,0,1,2000
Mathias Franzén,Sweden,0,1,0,1,2000
Peter Gentzel,Sweden,0,1,0,1,2000
Ljubomir Vranjes,Sweden,0,1,0,1,2000
Anastasiya Kolesnikova,Russian Federation,0,1,0,1,2000
Anna Chepeleva,Russian Federation,0,1,0,1,2000
Valeriy Honcharov,Ukraine,0,1,0,1,2000
Ruslan Mezentsev,Ukraine,0,1,0,1,2000
Valeriy Pereshkura,Ukraine,0,1,0,1,2000
Roman Zozulia,Ukraine,0,1,0,1,2000
Oksana Tsyhulova,Ukraine,0,1,0,1,2000
Han Hyeong-Bae,Republic of Korea,0,1,0,1,2000
Hwang Jong-Hyeon,Republic of Korea,0,1,0,1,2000
Jeon Jong-Gwon,Republic of Korea,0,1,0,1,2000
Ji Seong-Hwan,Republic of Korea,0,1,0,1,2000
Kim Cheong-Hwan,Republic of Korea,0,1,0,1,2000
Kim Jeong-Cheol,Republic of Korea,0,1,0,1,2000
Kim Gyeong-Seok,Republic of Korea,0,1,0,1,2000
Im Jong-Cheon,Republic of Korea,0,1,0,1,2000
Im Jeong-U,Republic of Korea,0,1,0,1,2000
Seo Jong-Ho,Republic of Korea,0,1,0,1,2000
Yeo Un-Gon,Republic of Korea,0,1,0,1,2000
Mariela Antoniska,Argentina,0,1,0,1,2000
Inés Arrondo,Argentina,0,1,0,1,2000
Lucha Aymar,Argentina,0,1,0,1,2000
María Paz Ferrari,Argentina,0,1,0,1,2000
Sole García,Argentina,0,1,0,1,2000
Maripi Hernández,Argentina,0,1,0,1,2000
Laura Maiztegui,Argentina,0,1,0,1,2000
Mechi Margalot,Argentina,0,1,0,1,2000
Paola Vukojicic,Argentina,0,1,0,1,2000
Tiago Camilo,Brazil,0,1,0,1,2000
Carlos Honorato,Brazil,0,1,0,1,2000
Li Shufang,People's Republic of China,0,1,0,1,2000
Daima Beltrán,Cuba,0,1,0,1,2000
Céline Lebrun,France,0,1,0,1,2000
Shinichi Shinohara,Japan,0,1,0,1,2000
Jeong Bu-Gyeong,Republic of Korea,0,1,0,1,2000
Lyubov Bruletova,Russian Federation,0,1,0,1,2000
Gábor Balogh,Hungary,0,1,0,1,2000
Katherine Grainger,Great Britain,0,1,0,1,2000
Claudia Blasberg,Germany,0,1,0,1,2000
Valerie Viehoff,Germany,0,1,0,1,2000
Elia Luini,Italy,0,1,0,1,2000
Carin ter Beek,Netherlands,0,1,0,1,2000
Dirk Lippits,Netherlands,0,1,0,1,2000
Martijntje Quik,Netherlands,0,1,0,1,2000
Jochem Verberne,Netherlands,0,1,0,1,2000
Sebastian Bea,United States,0,1,0,1,2000
Darren Bundock,Australia,0,1,0,1,2000
Ian Barker,Great Britain,0,1,0,1,2000
Mark Covell,Great Britain,0,1,0,1,2000
Simon Hiscocks,Great Britain,0,1,0,1,2000
Amelie Lux,Germany,0,1,0,1,2000
Gunnar Bahr,Germany,0,1,0,1,2000
Ingo Borkowski,Germany,0,1,0,1,2000
Bob Merrick,United States,0,1,0,1,2000
Pease Glaser,United States,0,1,0,1,2000
Delphine Racinet-Réau,France,0,1,0,1,2000
Gang Cho-Hyeon,Republic of Korea,0,1,0,1,2000
Tatyana Goldobina,Russian Federation,0,1,0,1,2000
Dyana Calub,Australia,0,1,0,1,2000
Elka Graham,Australia,0,1,0,1,2000
Regan Harrison,Australia,0,1,0,1,2000
Kirsten Thomson,Australia,0,1,0,1,2000
Jacinta Van Lint,Australia,0,1,0,1,2000
Josh Watson,Australia,0,1,0,1,2000
Tarnee White,Australia,0,1,0,1,2000
Roxana Maracineanu,France,0,1,0,1,2000
Yasuko Tajima,Japan,0,1,0,1,2000
Chantal Groot,Netherlands,0,1,0,1,2000
Thamar Henneken,Netherlands,0,1,0,1,2000
Manon van Rooijen,Netherlands,0,1,0,1,2000
Terence Parkin,South Africa,0,1,0,1,2000
Chad Carvin,United States,0,1,0,1,2000
Nate Dusing,United States,0,1,0,1,2000
Scott Goldblatt,United States,0,1,0,1,2000
Aaron Peirsol,United States,0,1,0,1,2000
Jamie Rauch,United States,0,1,0,1,2000
Erik Vendt,United States,0,1,0,1,2000
Kristy Kowal,United States,0,1,0,1,2000
Yoko Isoda,Japan,0,1,0,1,2000
Juri Tatsumi,Japan,0,1,0,1,2000
Yuko Yoneda,Japan,0,1,0,1,2000
Yoko Yoneda,Japan,0,1,0,1,2000
Sun Jin,People's Republic of China,0,1,0,1,2000
Yang Ying,People's Republic of China,0,1,0,1,2000
Daniel Trenton,Australia,0,1,0,1,2000
Urbia Meléndez,Cuba,0,1,0,1,2000
Gabriel Esparza,Spain,0,1,0,1,2000
Faissal Ebnoutalib,Germany,0,1,0,1,2000
Sin Jun-Sik,Republic of Korea,0,1,0,1,2000
Trude Gundersen,Norway,0,1,0,1,2000
Nataliya Ivanova,Russian Federation,0,1,0,1,2000
Trần Hiếu Ngân,Vietnam,0,1,0,1,2000
Tommy Haas,Germany,0,1,0,1,2000
Kristie Boogert,Netherlands,0,1,0,1,2000
Miriam Oremans,Netherlands,0,1,0,1,2000
Yelena Dementyeva,Russian Federation,0,1,0,1,2000
Stephan Vuckovic,Germany,0,1,0,1,2000
Ricardo,Brazil,0,1,0,1,2000
Shelda,Brazil,0,1,0,1,2000
Adriana Behar,Brazil,0,1,0,1,2000
Michellie Jones,Australia,0,1,0,1,2000
Anastasiya Belikova,Russian Federation,0,1,0,1,2000
Yekaterina Gamova,Russian Federation,0,1,0,1,2000
Olga Potashova,Russian Federation,0,1,0,1,2000
Inessa Sargsyan,Russian Federation,0,1,0,1,2000
Yelena Vasilevskaya,Russian Federation,0,1,0,1,2000
Alan Tsagaev,Bulgaria,0,1,0,1,2000
Wu Wenxiong,People's Republic of China,0,1,0,1,2000
Erzsébet Márkus-Peresztegi,Hungary,0,1,0,1,2000
Raema Lisa Rumbewas,Indonesia,0,1,0,1,2000
Szymon Kołecki,Poland,0,1,0,1,2000
Agata Wróbel,Poland,0,1,0,1,2000
Ri Song-Hui,Democratic People's Republic of Korea,0,1,0,1,2000
Valentina Popova,Russian Federation,0,1,0,1,2000
Li Feng-Ying,Chinese Taipei,0,1,0,1,2000
Aleksandr Gerasimov,Russian Federation,0,1,0,1,2000
Roman Yakovlev,Russian Federation,0,1,0,1,2000
Aleksey Kuleshov,Russian Federation,0,1,0,1,2000
Yevgeny Mitkov,Russian Federation,0,1,0,1,2000
Ilya Savelyev,Russian Federation,0,1,0,1,2000
Roman Balashov,Russian Federation,0,1,0,1,2000
Yury Yatsev,Russian Federation,0,1,0,1,2000
Revaz Chomakhidze,Russian Federation,0,1,0,1,2000
Marat Zakirov,Russian Federation,0,1,0,1,2000
Irek Zinnurov,Russian Federation,0,1,0,1,2000
Robin Beauregard,United States,0,1,0,1,2000
Ellen Estes,United States,0,1,0,1,2000
Courtney Johnson,United States,0,1,0,1,2000
Ericka Lorenz,United States,0,1,0,1,2000
Heather Moody,United States,0,1,0,1,2000
Mo O'Toole,United States,0,1,0,1,2000
Bernice Orwig,United States,0,1,0,1,2000
Nicolle Payne,United States,0,1,0,1,2000
Heather Petri,United States,0,1,0,1,2000
Kathy Sheehy,United States,0,1,0,1,2000
Coralie Simmons,United States,0,1,0,1,2000
Julie Swail-Ertel,United States,0,1,0,1,2000
Brenda Villa,United States,0,1,0,1,2000
Georgi Markov,Bulgaria,0,1,0,1,2000
Ruth Ogbeifo,Nigeria,0,1,0,1,2000
Yoel Romero,Cuba,0,1,0,1,2000
Sándor István Bárdosi,Hungary,0,1,0,1,2000
Arsen Gitinov,Kyrgyzstan,0,1,0,1,2000
Yevhen Buslovych,Ukraine,0,1,0,1,2000
David Saldadze,Ukraine,0,1,0,1,2000
Katsuhiko Nagata,Japan,0,1,0,1,2000
Kim In-Seop,Republic of Korea,0,1,0,1,2000
Mun Ui-Je,Republic of Korea,0,1,0,1,2000
Sammie Henson,United States,0,1,0,1,2000
Matt Lindland,United States,0,1,0,1,2000
Artur Taymazov,Uzbekistan,0,1,0,1,2000
Cédric Séguin,France,0,1,0,1,2000
Michael Phelps,United States,6,0,2,8,2004
Petria Thomas,Australia,3,1,0,4,2004
Aaron Peirsol,United States,3,0,0,3,2004
Jodie Henry,Australia,3,0,0,3,2004
Cătălina Ponor,Romania,3,0,0,3,2004
Natalie Coughlin,United States,2,2,1,5,2004
Ian Thorpe,Australia,2,1,1,4,2004
Veronica Campbell-Brown,Jamaica,2,0,1,3,2004
Kosuke Kitajima,Japan,2,0,1,3,2004
Viorica Susanu,Romania,2,0,0,2,2004
Guo Jingjing,People's Republic of China,2,0,0,2,2004
Kelly Holmes,Great Britain,2,0,0,2,2004
Hicham El Guerrouj,Morocco,2,0,0,2,2004
Natasa Dusev-Janics,Hungary,2,0,0,2,2004
Graeme Brown,Australia,2,0,0,2,2004
Georgeta Damian-Andrunache,Romania,2,0,0,2,2004
Yana Klochkova,Ukraine,2,0,0,2,2004
Nicolás Massú,Chile,2,0,0,2,2004
Park Seong-Hyeon,Republic of Korea,2,0,0,2,2004
Alice Mills,Australia,2,0,0,2,2004
Jeremy Wariner,United States,2,0,0,2,2004
Ryan Bayley,Australia,2,0,0,2,2004
Monica Roșu,Romania,2,0,0,2,2004
Zhang Yining,People's Republic of China,2,0,0,2,2004
Anastasiya Davydova,Russian Federation,2,0,0,2,2004
Anastasiya Yermakova,Russian Federation,2,0,0,2,2004
Pieter van den Hoogenband,Netherlands,1,2,0,3,2004
Amanda Beard,United States,1,2,0,3,2004
Paul Hamm,United States,1,2,0,3,2004
Grant Hackett,Australia,1,2,0,3,2004
Otylia Jędrzejczak,Poland,1,2,0,3,2004
Carly Patterson,United States,1,2,0,3,2004
Inge de Bruijn,Netherlands,1,1,2,4,2004
Bradley Wiggins,Great Britain,1,1,1,3,2004
Leisel Jones,Australia,1,1,1,3,2004
Roland Schoeman,South Africa,1,1,1,3,2004
Ian Crocker,United States,1,1,1,3,2004
Kaitlin Sandeno,United States,1,1,1,3,2004
Kirsty Coventry,Zimbabwe,1,1,1,3,2004
Brendan Hansen,United States,1,1,1,3,2004
Laure Manaudou,France,1,1,1,3,2004
Justin Gatlin,United States,1,1,1,3,2004
Birgit Fischer-Schmidt,East Germany,1,1,0,2,2004
Andreas Dittmer,Germany,1,1,0,2,2004
Brad McGee,Australia,1,1,0,2,2004
Gao Ling,People's Republic of China,1,1,0,2,2004
Katalin Kovács,Hungary,1,1,0,2,2004
Leslie Law,Great Britain,1,1,0,2,2004
Ulla Salzgeber,Germany,1,1,0,2,2004
Salvatore Sanzo,Italy,1,1,0,2,2004
Lyubov Galkina,Russian Federation,1,1,0,2,2004
Mikhail Nestruyev,Russian Federation,1,1,0,2,2004
Lindsay Benko,United States,1,1,0,2,2004
Lee Seong-Jin,Republic of Korea,1,1,0,2,2004
Rachel Komisarz,United States,1,1,0,2,2004
Brooke Hanson,Australia,1,1,0,2,2004
Ryan Lochte,United States,1,1,0,2,2004
Carolin Leonhardt,Germany,1,1,0,2,2004
David Cal,Spain,1,1,0,2,2004
Shawn Crawford,United States,1,1,0,2,2004
Otis Harris,United States,1,1,0,2,2004
Kenenisa Bekele,Ethiopia,1,1,0,2,2004
Aldo Montano,Italy,1,1,0,2,2004
Chris Kappler,United States,1,1,0,2,2004
Dana Șofronie,Romania,1,1,0,2,2004
Hiroyuki Tomita,Japan,1,1,0,2,2004
Wu Minxia,People's Republic of China,1,1,0,2,2004
Lao Lishi,People's Republic of China,1,1,0,2,2004
Leontien Zijlaard-van Moorsel,Netherlands,1,0,1,2,2004
Mariya Grozdeva,Bulgaria,1,0,1,2,2004
Tian Liang,People's Republic of China,1,0,1,2,2004
"Gary Hall, Jr.",United States,1,0,1,2,2004
Chantelle Michell-Newbery,Australia,1,0,1,2,2004
Tatyana Lebedeva,Russian Federation,1,0,1,2,2004
Eirik Verås Larsen,Norway,1,0,1,2,2004
Stefan Nimke,Germany,1,0,1,2,2004
Olga Slyusareva,Russian Federation,1,0,1,2,2004
Klete Keller,United States,1,0,1,2,2004
Jason Lezak,United States,1,0,1,2,2004
Neil Walker,United States,1,0,1,2,2004
Libby Lenton-Trickett,Australia,1,0,1,2,2004
Adam Van Koeverden,Canada,1,0,1,2,2004
Derrick Brew,United States,1,0,1,2,2004
Andrea Cassarà,Italy,1,0,1,2,2004
Anna Meares,Australia,1,0,1,2,2004
René Wolff,Germany,1,0,1,2,2004
Alexandra Eremia,Romania,1,0,1,2,2004
Takehiro Kashima,Japan,1,0,1,2,2004
Isao Yoneda,Japan,1,0,1,2,2004
Fernando González,Chile,1,0,1,2,2004
Ha Tae-Gwon,Republic of Korea,1,0,0,1,2004
Kim Dong-Mun,Republic of Korea,1,0,0,1,2004
Laura Berg,United States,1,0,0,1,2004
Lisa Fernandez,United States,1,0,0,1,2004
Lori Harrigan,United States,1,0,0,1,2004
Leah O'Brien-Amico,United States,1,0,0,1,2004
Pedro Luis Lazo,Cuba,1,0,0,1,2004
Eduardo Paret,Cuba,1,0,0,1,2004
Antonio Scull,Cuba,1,0,0,1,2004
Jang Yong-Ho,Republic of Korea,1,0,0,1,2004
Lisa Leslie,United States,1,0,0,1,2004
Dawn Staley,United States,1,0,0,1,2004
Sheryl Swoopes,United States,1,0,0,1,2004
Fabricio Oberto,Argentina,1,0,0,1,2004
Rubén Wolkowyski,Argentina,1,0,0,1,2004
Zoltán Kammerer,Hungary,1,0,0,1,2004
Elena Kaliská,Slovakia,1,0,0,1,2004
Henrik Nilsson,Sweden,1,0,0,1,2004
Markus Oscarsson,Sweden,1,0,0,1,2004
Anky van Grunsven,Netherlands,1,0,0,1,2004
Rodrigo Pessoa,Brazil,1,0,0,1,2004
Martin Schaudt,Germany,1,0,0,1,2004
Jean Teulère,France,1,0,0,1,2004
Gunn Rita Dahle-Flesjå,Norway,1,0,0,1,2004
Sarah Ulmer,New Zealand,1,0,0,1,2004
Jens Fiedler,Germany,1,0,0,1,2004
Vyacheslav Yekimov,Russian Federation,1,0,0,1,2004
Stuart O'Grady,Australia,1,0,0,1,2004
Nadine Ernsting-Krienke,Germany,1,0,0,1,2004
Natascha Keller,Germany,1,0,0,1,2004
Heike Lätzsch,Germany,1,0,0,1,2004
Oksana Yermakova,Estonia,1,0,0,1,2004
Tímea Nagy,Hungary,1,0,0,1,2004
Valentina Vezzali,Italy,1,0,0,1,2004
Karina Aznavuryan,Russian Federation,1,0,0,1,2004
Damien Touya,France,1,0,0,1,2004
Roberto Ayala,Argentina,1,0,0,1,2004
Brandi Chastain,United States,1,0,0,1,2004
Joy Fawcett,United States,1,0,0,1,2004
Julie Foudy,United States,1,0,0,1,2004
Mia Hamm,United States,1,0,0,1,2004
Kristine Lilly,United States,1,0,0,1,2004
Cindy Parlow,United States,1,0,0,1,2004
Briana Scurry,United States,1,0,0,1,2004
Naoya Tsukahara,Japan,1,0,0,1,2004
Slavko Goluža,Croatia,1,0,0,1,2004
Venio Losert,Croatia,1,0,0,1,2004
Valter Matošević,Croatia,1,0,0,1,2004
Noriko Anno,Japan,1,0,0,1,2004
Ryoko Tamura-Tani,Japan,1,0,0,1,2004
Tadahiro Nomura,Japan,1,0,0,1,2004
Drew Ginn,Australia,1,0,0,1,2004
James Tomkins,Australia,1,0,0,1,2004
Eskild Ebbesen,Denmark,1,0,0,1,2004
Sébastien Vieilledent,France,1,0,0,1,2004
James Cracknell,Great Britain,1,0,0,1,2004
Matthew Pinsent,Great Britain,1,0,0,1,2004
Kathrin Boron,Germany,1,0,0,1,2004
Meike Evers,Germany,1,0,0,1,2004
Manuela Lutze,Germany,1,0,0,1,2004
Katrin Rutschow-Stomporowski,Germany,1,0,0,1,2004
Olaf Tufte,Norway,1,0,0,1,2004
Robert Sycz,Poland,1,0,0,1,2004
Constanța Pipotă-Burcică,Romania,1,0,0,1,2004
Liliana Gafencu,Romania,1,0,0,1,2004
Elena Georgescu,Romania,1,0,0,1,2004
Doina Ignat,Romania,1,0,0,1,2004
Elisabeta Oleniuc-Lipă,Romania,1,0,0,1,2004
Angela Tamaș-Alupei,Romania,1,0,0,1,2004
Igor Kravtsov,Russian Federation,1,0,0,1,2004
Nikolay Spinev,Russian Federation,1,0,0,1,2004
Wang Yifu,People's Republic of China,1,0,0,1,2004
Ralf Schumann,East Germany,1,0,0,1,2004
Diána Igaly,Hungary,1,0,0,1,2004
Andrea Benelli,Italy,1,0,0,1,2004
Kim Rhode,United States,1,0,0,1,2004
Sarah Ryan,Australia,1,0,0,1,2004
Nikolaos Siranidis,Greece,1,0,0,1,2004
Ryk Neethling,South Africa,1,0,0,1,2004
Yelena Azarova,Russian Federation,1,0,0,1,2004
Olga Brusnikina,Russian Federation,1,0,0,1,2004
Mariya Kiselyova,Russian Federation,1,0,0,1,2004
Olga Novokshchenova,Russian Federation,1,0,0,1,2004
Emanuel,Brazil,1,0,0,1,2004
Nalbert,Brazil,1,0,0,1,2004
Giovane,Brazil,1,0,0,1,2004
Maurício,Brazil,1,0,0,1,2004
Wang Lina,People's Republic of China,1,0,0,1,2004
Tibor Benedek,Hungary,1,0,0,1,2004
Rajmund Fodor,Hungary,1,0,0,1,2004
Tamás Kásás,Hungary,1,0,0,1,2004
Halil Mutlu,Turkey,1,0,0,1,2004
Buvaysar Saytiyev,Russian Federation,1,0,0,1,2004
Elbrus Tedieiev,Ukraine,1,0,0,1,2004
Shirley Robertson,Great Britain,1,0,0,1,2004
Aimilia Tsoulfa,Greece,1,0,0,1,2004
Ben Ainslie,Great Britain,1,0,0,1,2004
Kevin Burnham,United States,1,0,0,1,2004
Marcelo Ferreira,Brazil,1,0,0,1,2004
Paul Foerster,United States,1,0,0,1,2004
Gal Fridman,Israel,1,0,0,1,2004
Torben Grael,Brazil,1,0,0,1,2004
Roman Hagara,Austria,1,0,0,1,2004
Robert Scheidt,Brazil,1,0,0,1,2004
Yumileidi Cumbá,Cuba,1,0,0,1,2004
Darren Campbell,Great Britain,1,0,0,1,2004
Stefano Baldini,Italy,1,0,0,1,2004
Beverly McDonald,Jamaica,1,0,0,1,2004
Virgilijus Alekna,Lithuania,1,0,0,1,2004
Robert Korzeniowski,Poland,1,0,0,1,2004
Nataliya Sadova,Russian Federation,1,0,0,1,2004
Zhang Jun,People's Republic of China,1,0,0,1,2004
Taufik Hidayat,Indonesia,1,0,0,1,2004
Yun Mi-Jin,Republic of Korea,1,0,0,1,2004
Tonique Williams-Darling,The Bahamas,1,0,0,1,2004
Françoise Mbango,Cameroon,1,0,0,1,2004
Osleidys Menéndez,Cuba,1,0,0,1,2004
Roman Šebrle,Czech Republic,1,0,0,1,2004
Félix Sánchez,Dominican Republic,1,0,0,1,2004
Marlon Devonish,Great Britain,1,0,0,1,2004
Jason Gardener,Great Britain,1,0,0,1,2004
Ivano Brugnetti,Italy,1,0,0,1,2004
Tayna Lawrence,Jamaica,1,0,0,1,2004
Koji Murofushi,Japan,1,0,0,1,2004
Yury Borzakovsky,Russian Federation,1,0,0,1,2004
Yelena Isinbayeva,Russian Federation,1,0,0,1,2004
Olga Kuzenkova,Russian Federation,1,0,0,1,2004
Karen Brødsgaard,Denmark,1,0,0,1,2004
Katrine Fruelund,Denmark,1,0,0,1,2004
Lotte Kiærskou,Denmark,1,0,0,1,2004
Karin Mortensen,Denmark,1,0,0,1,2004
Rikke Petersen Schmidt,Denmark,1,0,0,1,2004
Mette Vestergaard,Denmark,1,0,0,1,2004
Stefan Holm,Sweden,1,0,0,1,2004
Christian Olsson,Sweden,1,0,0,1,2004
Monique Hennagan,United States,1,0,0,1,2004
Adam Nelson,United States,1,0,0,1,2004
Dwight Phillips,United States,1,0,0,1,2004
Yang Wei,People's Republic of China,1,0,0,1,2004
Ariel Pestano,Cuba,1,0,0,1,2004
Norge Luis Vera,Cuba,1,0,0,1,2004
Mario Kindelán,Cuba,1,0,0,1,2004
Guillermo Rigondeaux,Cuba,1,0,0,1,2004
Gaydarbek Gaydarbekov,Russian Federation,1,0,0,1,2004
Yolanda Griffith,United States,1,0,0,1,2004
Katie Smith,United States,1,0,0,1,2004
Tony Estanguet,France,1,0,0,1,2004
Christian Gille,Germany,1,0,0,1,2004
Ronny Rauhe,Germany,1,0,0,1,2004
Katrin Wagner-Augustin,Germany,1,0,0,1,2004
Tim Wieskötter,Germany,1,0,0,1,2004
Gábor Horváth,Hungary,1,0,0,1,2004
Botond Storcz,Hungary,1,0,0,1,2004
Ákos Vereckei,Hungary,1,0,0,1,2004
Pavol Hochschorner,Slovakia,1,0,0,1,2004
Peter Hochschorner,Slovakia,1,0,0,1,2004
Brett Lancaster,Australia,1,0,0,1,2004
Luke Roberts,Australia,1,0,0,1,2004
Lori-Ann Muenzer,Canada,1,0,0,1,2004
Chris Hoy,Great Britain,1,0,0,1,2004
Paolo Bettini,Italy,1,0,0,1,2004
Hu Jia,People's Republic of China,1,0,0,1,2004
Thomas Bimis,Greece,1,0,0,1,2004
Nicolas Touzaint,France,1,0,0,1,2004
Brice Guyart,France,1,0,0,1,2004
Hugues Obry,France,1,0,0,1,2004
Julien Pillet,France,1,0,0,1,2004
Tatyana Logunova,Russian Federation,1,0,0,1,2004
Marcel Fischer,Switzerland,1,0,0,1,2004
Christie Pearce-Rampone,United States,1,0,0,1,2004
Kate Sobrero-Markgraf,United States,1,0,0,1,2004
Kyle Shewfelt,Canada,1,0,0,1,2004
Gervasio Deferr,Spain,1,0,0,1,2004
Anna Dogonadze-Lilkendey,Germany,1,0,0,1,2004
Dimosthenis Tambakos,Greece,1,0,0,1,2004
Igor Cassina,Italy,1,0,0,1,2004
Alina Kabayeva,Russian Federation,1,0,0,1,2004
Nataliya Lavrova,Russian Federation,1,0,0,1,2004
Valeriy Honcharov,Ukraine,1,0,0,1,2004
Michael Brennan,Australia,1,0,0,1,2004
Troy Elder,Australia,1,0,0,1,2004
Brent Livermore,Australia,1,0,0,1,2004
Matt Wells,Australia,1,0,0,1,2004
Caroline Casaretto,Germany,1,0,0,1,2004
Franziska Gude,Germany,1,0,0,1,2004
Denise Klecker,Germany,1,0,0,1,2004
Fanny Rinne,Germany,1,0,0,1,2004
Marion Rodewald,Germany,1,0,0,1,2004
Julia Zwehl,Germany,1,0,0,1,2004
Masae Ueno,Japan,1,0,0,1,2004
Zsuzsa Vőrős,Hungary,1,0,0,1,2004
Thomas Ebert,Denmark,1,0,0,1,2004
Adrien Hardy,France,1,0,0,1,2004
Ed Coode,Great Britain,1,0,0,1,2004
Kerstin Kowalski-El-Qalqili,Germany,1,0,0,1,2004
Tomasz Kucharski,Poland,1,0,0,1,2004
Aurica Chiriță-Bărăscu,Romania,1,0,0,1,2004
Chris Ahrens,United States,1,0,0,1,2004
Pete Cipollone,United States,1,0,0,1,2004
Bryan Volpenhein,United States,1,0,0,1,2004
Hans-Peter Steinacher,Austria,1,0,0,1,2004
Sofia Bekatorou,Greece,1,0,0,1,2004
Siren Sundby,Norway,1,0,0,1,2004
Manfred Kurzer,Germany,1,0,0,1,2004
Aleksey Alipov,Russian Federation,1,0,0,1,2004
Ahmed Al-Maktoum,United Arab Emirates,1,0,0,1,2004
Crystl Bustos,United States,1,0,0,1,2004
Stacey Nuveman,United States,1,0,0,1,2004
Giaan Rooney,Australia,1,0,0,1,2004
Luo Xuejuan,People's Republic of China,1,0,0,1,2004
Camelia Potec,Romania,1,0,0,1,2004
Scott Goldblatt,United States,1,0,0,1,2004
Lenny Krayzelburg,United States,1,0,0,1,2004
Wang Nan,People's Republic of China,1,0,0,1,2004
Yu Seung-Min,Republic of Korea,1,0,0,1,2004
Chen Zhong,People's Republic of China,1,0,0,1,2004
Hadi Saei,Islamic Republic of Iran,1,0,0,1,2004
Steven Lopez,United States,1,0,0,1,2004
Li Ting,People's Republic of China,1,0,0,1,2004
Hamish Carter,New Zealand,1,0,0,1,2004
Ricardo,Brazil,1,0,0,1,2004
Misty May-Treanor,United States,1,0,0,1,2004
Dante,Brazil,1,0,0,1,2004
Gustavo,Brazil,1,0,0,1,2004
Giba,Brazil,1,0,0,1,2004
André Heller,Brazil,1,0,0,1,2004
Chen Jing,People's Republic of China,1,0,0,1,2004
Li Shan,People's Republic of China,1,0,0,1,2004
Kerri Walsh Jennings,United States,1,0,0,1,2004
Péter Biros,Hungary,1,0,0,1,2004
Gergő Kiss,Hungary,1,0,0,1,2004
Tamás Molnár,Hungary,1,0,0,1,2004
Barnabás Steinmetz,Hungary,1,0,0,1,2004
Zoltán Szécsi,Hungary,1,0,0,1,2004
Attila Vári,Hungary,1,0,0,1,2004
Zhang Guozheng,People's Republic of China,1,0,0,1,2004
Giorgi Asanidze,Georgia,1,0,0,1,2004
Pawina Thongsuk,Thailand,1,0,0,1,2004
István Gergely,Hungary,1,0,0,1,2004
Hossein Reza Zadeh,Islamic Republic of Iran,1,0,0,1,2004
Nataliya Skakun,Ukraine,1,0,0,1,2004
István Majoros,Hungary,1,0,0,1,2004
Artur Taymazov,Uzbekistan,1,0,0,1,2004
Cat Reddick,United States,1,0,0,1,2004
Shannon Boxx,United States,1,0,0,1,2004
Aly Wagner,United States,1,0,0,1,2004
Abby Wambach,United States,1,0,0,1,2004
Angela Hucles,United States,1,0,0,1,2004
Lindsay Tarpley,United States,1,0,0,1,2004
Germán Lux,Argentina,1,0,0,1,2004
Fabricio Coloccini,Argentina,1,0,0,1,2004
Javier Mascherano,Argentina,1,0,0,1,2004
Gabriel Heinze,Argentina,1,0,0,1,2004
César Delgado,Argentina,1,0,0,1,2004
Carlos Tévez,Argentina,1,0,0,1,2004
Kily González,Argentina,1,0,0,1,2004
Mauro Rosales,Argentina,1,0,0,1,2004
Andrés D'Alessandro,Argentina,1,0,0,1,2004
Luis González,Argentina,1,0,0,1,2004
Javier Saviola,Argentina,1,0,0,1,2004
Nicolás Medina,Argentina,1,0,0,1,2004
Clemente Rodríguez,Argentina,1,0,0,1,2004
Marco Galiazzo,Italy,1,0,0,1,2004
Im Dong-Hyeon,Republic of Korea,1,0,0,1,2004
Park Gyeong-Mo,Republic of Korea,1,0,0,1,2004
Heather Mitts,United States,1,0,0,1,2004
Heather O'Reilly,United States,1,0,0,1,2004
Nicolás Burdisso,Argentina,1,0,0,1,2004
Mariano González,Argentina,1,0,0,1,2004
Shannon Johnson,United States,1,0,0,1,2004
